"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","marketingemailinformation","false","","true","true","false","true","false","true","HubSpot","Sales view (5)","100%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Template type","hs_email_template_mode","enumeration","The template used to create the email ('design manager' or 'drag and drop').","marketingemailinformation","false","Design Manager (DESIGN_MANAGER); Drag and drop (DRAG_AND_DROP)","true","true","false","false","false","true","HubSpot","","100%","",""
"Marketing email type","hs_email_type","enumeration","Deprecated: same as hs_subcategory. Use hs_type for the email type.","marketingemailinformation","false","AB Master (ab_master) [READ-ONLY]; AB Variant (ab_variant) [READ-ONLY]; AB Loser Variant (ab_loser_variant) [READ-ONLY]; Automated (automated) [READ-ONLY]; Automated for Deal (automated_for_deal) [READ-ONLY]; Automated for Form (automated_for_form) [READ-ONLY]; Automated for Form Legacy (automated_for_form_legacy) [READ-ONLY]; Automated for Form Buffer (automated_for_form_buffer) [READ-ONLY]; Automated for Form Draft (automated_for_form_draft) [READ-ONLY]; RSS to Email (rss_to_email) [READ-ONLY]; RSS to Email Child (rss_to_email_child) [READ-ONLY]; Blog Email (blog_email) [READ-ONLY]; Blog Email Child (blog_email_child) [READ-ONLY]; Optin Email (optin_email) [READ-ONLY]; Optin Followup Email (optin_followup_email) [READ-ONLY]; Batch (batch) [READ-ONLY]; Resubscribe Email (resubscribe_email) [READ-ONLY]; Unsubscribe Confirmation Email (unsubscribe_confirmation_email) [READ-ONLY]; Resubscribe Confirmation Email (resubscribe_confirmation_email) [READ-ONLY]; Single Send API (single_send_api) [READ-ONLY]; Marketing Single Send API (marketing_single_send_api) [READ-ONLY]; SMTP Token (smtp_token) [READ-ONLY]; Localtime (localtime) [READ-ONLY]; Automated for Ticket (automated_for_ticket) [READ-ONLY]; Automated for Leadflow (automated_for_leadflow) [READ-ONLY]; Automated for Feedback CES (automated_for_feedback_ces) [READ-ONLY]; Automated for Feedback NPS (automated_for_feedback_nps) [READ-ONLY]; Automated for Feedback Custom (automated_for_feedback_custom) [READ-ONLY]; Membership Registration Email (membership_registration) [READ-ONLY]; Membership Password Saved Email (membership_password_saved) [READ-ONLY]; Membership Password Reset Email (membership_password_reset) [READ-ONLY]; Ticket Closed Kickback Email (ticket_closed_kickback_email) [READ-ONLY]; Ticket Opened Kickback Email (ticket_opened_kickback_email) [READ-ONLY]; Automated For Custom Survey (automated_for_custom_survey) [READ-ONLY]; Automated AB Master (automated_ab_master) [READ-ONLY]; Automated AB Variant (automated_ab_variant) [READ-ONLY]; Membership Passwordless Auth Email (membership_passwordless_auth); Membership Registration Follow Up Email (membership_follow_up); Membership Email Verification Email (membership_verification); Manage Preferences Email (manage_preferences_email) [READ-ONLY]; Ticket Automated Email (ticket_pipeline_automated)","true","true","false","false","false","true","HubSpot","","100%","",""
"Folder Id","hs_folder_id","number","This value represents the folder Id of a certain folder that the email was moved too.","marketingemailinformation","false","","true","false","false","false","false","true","HubSpot","","0%","",""
"From address","hs_from_address","string","The email address recipients will see.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (6)","98.11%","",""
"From name","hs_from_name","string","The name recipients will see.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (7)","98.11%","",""
"Generated by AI","hs_generated_by_ai","enumeration","The content was fully generated by AI and was not edited by a human.","marketingemailinformation","false","Image (IMAGE); Main content (MAIN_CONTENT); Subject line (SUBJECT_LINE); Preview text (PREVIEW_TEXT); Translated (AUTO_TRANSLATION); Email generation (EMAIL_GENERATOR)","true","true","false","false","false","true","HubSpot","","8.81%","",""
"Co-created with AI","hs_generated_with_ai","enumeration","The content was generated by AI and then edited by a human.","marketingemailinformation","false","Image (IMAGE); Main content (MAIN_CONTENT); Subject line (SUBJECT_LINE); Preview text (PREVIEW_TEXT); Template (TEMPLATE); Email generation (EMAIL_GENERATOR)","true","true","false","false","false","true","HubSpot","","74.84%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
