"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Used in","hs_list_reference_categories","enumeration","Indicates the types of assets using a segment","objectlistinformation","false","Ads (1); Blogs (4); Bots (5); Campaigns (6); Chatflows (12); CTAs (Legacy) (8); Datasets (13); Emails (9); Health Scoring (21); Journeys (2); Lead scoring (20); Lookalike Lists (10); Lists (22); Marketing Events (11); Reporting (7); Salesforce Inclusion Lists (19); Smart Content (15); SMS (16); Social Streams (18); Split Lists (17); Views (14); Workflows (3)","true","true","false","false","false","true","HubSpot","","33.91%","",""
"List Size","hs_list_size","number","","objectlistinformation","false","","true","false","false","false","false","true","HubSpot","Sales view (21)","98.07%","",""
"7-Day Change","hs_list_size_week_delta","number","How the count of the list has changed in the last 7 days","objectlistinformation","false","","true","false","false","false","false","true","HubSpot","","44.99%","",""
"Segment version","hs_list_version","number","The current version of the segment","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Lookalikes AI Summary","hs_lookalike_ai_summary","string","The summary of how a lookalike list compares to its seed list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (1)","0%","",""
"Assigned Team","hs_membership_team_id","number","Team that the list is assigned to and used to limit list memberships","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","95.03%","",""
"Object Type","hs_object_type_id","string","The object type id of the objects in the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","Object requirement (1); Sales view (21)","100%","",""
"Teams with edit access","hs_teams_with_edit_access","enumeration","Teams with explicit edit access to a list","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","45.57%","",""
"Users with edit access","hs_users_with_edit_access","enumeration","Users with explicit edit access to a list","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","objectlistinformation","false","","false","true","false","true","false","true","HubSpot","Sales view (1)","1.93%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Tags","tags","enumeration","","objectlistinformation","true","ABM; Audit; Clay; Complience; Events; Inbound; Instagram Outreach; Marketing; NRB; NRB 2026; Organic; Paid","false","false","false","false","false","false","Nay Luchetti","Object requirement (1); Sales view (10)","5.09%","",""
