"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Create Date","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Currency","hs_currency","string","The currency of the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Days overdue","hs_days_overdue","datetime","The number of days this open invoice is overdue. Stored as a datetime value but displayed as a relative date","invoiceinformation","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Days paid late","hs_days_paid_late","enumeration","How many days the invoice was paid after the due date","invoiceinformation","false","Paid on time (paid_on_time) [READ-ONLY]; 1-30 days late (between_1_30_days_late) [READ-ONLY]; 31-60 days late (between_31_60_days_late) [READ-ONLY]; 61-90 days late (between_61_90_days_late) [READ-ONLY]; 90+ days late (over_90_days_late) [READ-ONLY]","true","true","true","false","false","true","HubSpot","","0%","",""
"Discounts total","hs_discounts_total","number","The sum of all line item level discounts and invoice level discounts applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Due date","hs_due_date","datetime","The due date for the current invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Automated taxes on","hs_enable_automated_taxes","bool","Whether or not automated tax is enabled for the invoice","invoiceinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the invoice amount into your company currency.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice external create date/time","hs_external_createdate","datetime","The date and time at which the invoice was created in the 3rd party accounting application","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"External recipient","hs_external_recipient","string","The recipient of the current invoice.","invoiceinformation","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Fees total","hs_fees_total","number","The sum of all fees applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Age category","hs_invoice_age_category","enumeration","How many days an invoice has been outstanding","invoiceinformation","false","Current (zero_days); 1-30 Days (between_1_30_days); 31-60 Days (between_31_60_days); 61-90 Days (between_61_90_days); 90+ Days (over_90_days)","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice billable","hs_invoice_billable","bool","Whether or not the invoice is billable","invoiceinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Invoice date","hs_invoice_date","datetime","Date of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Latest company name","hs_invoice_latest_company_name","string","The latest name value among companies associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest contact email","hs_invoice_latest_contact_email","string","The latest email value among contacts associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest contact first name","hs_invoice_latest_contact_firstname","string","The latest first name value among contacts associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest contact last name","hs_invoice_latest_contact_lastname","string","The latest last name value among contacts associated to this invoice","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice link","hs_invoice_link","string","The invoice url link, based on the domain and slug.","invoiceinformation","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Invoice source","hs_invoice_source","enumeration","Creation source of the Invoice.","invoiceinformation","false","HubSpot (native_invoice); Data Sync (data_sync); Legacy QuickBooks Online (legacy_quickbooks_online); Legacy Xero (legacy_xero)","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice status","hs_invoice_status","enumeration","The status of the Invoice. Invoice statuses allow you to categorize and track billing progress.","invoiceinformation","false","Draft (draft); Open (open); Paid (paid); Voided (voided)","false","true","false","false","false","true","HubSpot","","0%","",""
"Invoice status details","hs_invoice_status_details","enumeration","Additional invoice status details.","invoiceinformation","false","Partially Paid (partially_paid); Partially Refunded (partially_refunded); Refunded (refunded); Payment Processing (payment_processing)","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice Tool Source","hs_invoice_tool_source","enumeration","The tool that was used to create the invoice.","invoiceinformation","false","Invoice Editor (invoice_editor); Payment Link (payment_link); Quote (quote); Subscription (subscription); Billing Schedule (billing_schedule)","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice Tool Source ID","hs_invoice_tool_source_id","string","The ID of the tool used to create the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Language","hs_language","string","Language of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Last reminder sent date","hs_last_reminder_sent_date","datetime","The last time an email reminder was sent to the customer. This is automatically updated by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last sent date","hs_last_sent_date","datetime","The last time the invoice was sent to the customer. This is updated automatically by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Locale","hs_locale","string","Locale of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"net payment term","hs_net_payment_term","number","Refers to the period, expressed in days (e.g., Net 30), within which invoice must be paid","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Number","hs_number","string","The 3rd party number associated to this invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","invoiceinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Payment Collection Option","hs_payment_collection_option","enumeration","The payment collection option as selected in the invoice editor","invoiceinformation","false","PMOF (pmof); Request payment (request_payment)","false","true","false","false","false","true","HubSpot","","0%","",""
"Payment date","hs_payment_date","datetime","The date when payment of an invoice has fully completed.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"PDF download link","hs_pdf_download_link","string","The link to download the pdf of this Invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"PO number","hs_purchase_order_number","string","Purchase order number of the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Received by recipient date (QuickBooks Online)","hs_received_by_recipient_date","datetime","The date the invoice was received by the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company street address","hs_recipient_company_address","string","The address of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company street address 2","hs_recipient_company_address2","string","Additional address of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company city","hs_recipient_company_city","string","The city of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company country","hs_recipient_company_country","string","The country of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company country code","hs_recipient_company_country_code","string","The country code of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company state/region","hs_recipient_company_state","string","The state or region of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company postal code","hs_recipient_company_zip","string","The postal or zip code of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping street address","hs_recipient_shipping_address","string","The shipping address of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping street address 2","hs_recipient_shipping_address2","string","Additional shipping address of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping city","hs_recipient_shipping_city","string","The shipping city of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping country","hs_recipient_shipping_country","string","The shipping country of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping country code","hs_recipient_shipping_country_code","string","The shipping country of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping name","hs_recipient_shipping_name","string","The shipping name of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping state/region","hs_recipient_shipping_state","string","The shipping state or region of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping postal code","hs_recipient_shipping_zip","string","The shipping postal or zip code of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"External Invoice Status","hs_status","enumeration","The external status of the current invoice. This value is retrieved from a third party and may not be modified","invoiceinformation","false","Waiting to be sent (INVOICE_WAITING_TO_BE_SENT); Sent to customer (INVOICE_SENT); Partial payment made (INVOICE_PAYMENT_MADE); Fully paid (INVOICE_FULLY_PAID); Overdue (INVOICE_OVERDUE); Voided (INVOICE_VOIDED)","true","true","false","false","false","true","HubSpot","","0%","",""
"Store payment method at checkout","hs_store_payment_method_at_checkout","bool","Allow customers to store their payment method at checkout.","invoiceinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Subtotal","hs_subtotal","number","The sum of all line items of the invoice including line item level taxes.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Tax ID","hs_tax_id","enumeration","The account tax ID listed on this invoice. The tax ID includes a tax ID type and a tax ID number.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Taxes total","hs_taxes_total","number","The sum of all taxes applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Time zone","hs_timezone","string"," The time zone of dates on the invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Title","hs_title","string","Title of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","invoiceinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
