"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Call status","hs_call_status","enumeration","The status of the call","call","false","Busy (BUSY); Calling CRM User (CALLING_CRM_USER); Canceled (CANCELED); Completed (COMPLETED); Connecting (CONNECTING); Failed (FAILED); In Progress (IN_PROGRESS); Missed (MISSED); No Answer (NO_ANSWER); Queued (QUEUED); Ringing (RINGING); On Hold (HOLD)","false","true","false","false","false","true","HubSpot","Sales view (1)","97.26%","",""
"Call summary","hs_call_summary","string","A generated summary of the call","call","false","","true","true","false","false","false","true","HubSpot","Sales view (1)","0.21%","",""
"Call Title","hs_call_title","string","The title of the call","call","false","","false","true","false","false","false","true","HubSpot","Sales view (4)","100%","",""
"To Number","hs_call_to_number","string","The phone number of the person that was called","call","false","","false","true","false","false","false","true","HubSpot","","71.32%","",""
"To Number Name","hs_call_to_number_nickname","string","The name of the phone number that was called","call","false","","true","true","false","false","false","true","HubSpot","","0.46%","",""
"Tracked terms","hs_call_transcript_tracked_terms","enumeration","A list of any tracked terms contained in the call transcript","call","false","","true","true","false","true","false","true","HubSpot","Sales view (1)","0.73%","",""
"Connected count","hs_connected_count","number","This counter is used to report on the total number of calls that end up connected to a live recipient","call","false","","true","true","true","false","false","true","HubSpot","","100%","",""
"Voice Agent Is Most Recent Customer Feedback Positive","hs_voice_agent_is_most_recent_customer_feedback_positive","bool","This property will track the most recent feedback for the Voice Agent and help track its resolution rate.  The value is null if no feedback is given by the customer. The value is true if the customer positively affirms the Voice Agent resolved their issue. The value is false if the customer indicates that the Voice Agent did not resolve their issue.  ","call","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","","0%","",""
"Voicemail count","hs_voicemail_count","number","This counter is used to report on the total number of calls that end up with a voicemail","call","false","","true","true","true","false","false","true","HubSpot","","100%","",""
"Associated contact conversion","associated_contact_conversion","string","","callinformation","false","","true","false","true","false","false","false","Nay Luchetti","Sales view (1)","7.23%","",""
"Associated contact first conversion date","associated_contact_first_conversion_date","datetime","","callinformation","false","","true","false","true","false","false","false","Nay Luchetti","Sales view (1)","7.23%","",""
"Associated contact source","associated_contact_source","enumeration","","callinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","true","false","true","false","false","false","Nay Luchetti","Sales view (1)","58.96%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","","76.48%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","","5.67%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","callinformation","false","","true","true","false","true","false","true","HubSpot","","75.47%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","","78.14%","",""
"In-person Event Encounter","in_person_event_encounter","enumeration","","callinformation","true","NRB; Other","false","false","false","false","false","false","Nay Luchetti","Sales view (1)","0%","",""
"Talking Points","talking_points","enumeration","","callinformation","true","America Prays 250; NRB 2026; PRAY Science (Pray Science)","false","false","false","false","false","false","Nay Luchetti","Automation platform flow (3); Sales view (1)","0.81%","",""
"Call and meeting type","hs_activity_type","enumeration","The activity type of the engagement","engagement","false","Sales - Cold Call; Sales - Discovery; Sales - Demo; Sales - Follow Up; Sales - Negotiation; Sales - Other; LS - Executive Onboarding; LS - Technical Onboarding 1; LS - Studio Tour; LS - Goal Setting; LS - Performance Reviews; LS - Check-in; LS - Support; LS - F2F; Sales - In-Person; MP - Speaking Engagement","false","true","false","false","false","true","HubSpot","Automation platform flow (3); Sales view (2)","9.78%","",""
"Attached file IDs","hs_attachment_ids","enumeration","The IDs of the files that are attached to the engagement","engagement","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Activity created by","hs_created_by","number","The user who created the engagement","engagement","false","","true","true","false","true","false","true","HubSpot","","82.77%","",""
"Create date","hs_createdate","datetime","The date that an engagement was created","engagement","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (1); Sales view (2)","100%","",""
"Last modified date","hs_lastmodifieddate","datetime","The date any property on this engagement was modified","engagement","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Activity date","hs_timestamp","datetime","The date that an engagement occurred","engagement","false","","false","true","false","false","false","true","HubSpot","Rollup property (1); Sales view (4)","100%","",""
"Activity assigned to","hubspot_owner_id","enumeration","The user that the activity is assigned to in HubSpot. This can be any HubSpot user or Salesforce integration user, and can be set manually or via Workflows.","engagement","false","","false","true","false","true","false","true","HubSpot","Sales view (4)","99.42%","",""
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of an engagement.","engagement","false","","true","true","false","true","false","true","HubSpot","","25.9%","",""
