"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Date entered ""Attempting to connect (Inbound Marketing)""","hs_v2_date_entered_attempting_stage_id_745667965","datetime","The date and time when the lead entered the 'Attempting to connect' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","23.99%","",""
"Date entered ""Attempting to book meeting (Inbound Marketing)""","hs_v2_date_entered_connected_stage_id_2058487257","datetime","The date and time when the lead entered the 'Attempting to book meeting' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","8.11%","",""
"Date entered ""New (Inbound Marketing)""","hs_v2_date_entered_new_stage_id_1318266061","datetime","The date and time when the lead entered the 'New' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","35.63%","",""
"Date entered ""Deal created (Inbound Marketing)""","hs_v2_date_entered_qualified_stage_id_233247981","datetime","The date and time when the lead entered the 'Deal created' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","Report (4); Sales view (8); Dashboard (2)","13.55%","",""
"Date entered ""Disqualified (Inbound Marketing)""","hs_v2_date_entered_unqualified_stage_id_1675714327","datetime","The date and time when the lead entered the 'Disqualified' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","Report (3); Dashboard (1)","30.2%","",""
"Date exited ""Direct Message Replied (Instagram Outreach)""","hs_v2_date_exited_1096133706","datetime","The date and time when the lead exited the 'Direct Message Replied' stage, 'Instagram Outreach' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","Pipeline object tag (1)","12.17%","",""
"Date exited "" Identified (Instagram Outreach)""","hs_v2_date_exited_1096330048","datetime","The date and time when the lead exited the ' Identified' stage, 'Instagram Outreach' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","Pipeline object tag (2)","60.66%","",""
"Date exited ""Direct Message Sent (Instagram Outreach)""","hs_v2_date_exited_1096330050","datetime","The date and time when the lead exited the 'Direct Message Sent' stage, 'Instagram Outreach' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","15.53%","",""
"Date exited ""Meeting Scheduled (Instagram Outreach)""","hs_v2_date_exited_1096330051","datetime","The date and time when the lead exited the 'Meeting Scheduled' stage, 'Instagram Outreach' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","1.12%","",""
"Date exited ""Disqualified (Instagram Outreach)""","hs_v2_date_exited_1096330052","datetime","The date and time when the lead exited the 'Disqualified' stage, 'Instagram Outreach' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Attempting to Book Meeting (Instagram Outreach)""","hs_v2_date_exited_1096407205","datetime","The date and time when the lead exited the 'Attempting to Book Meeting' stage, 'Instagram Outreach' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","4.14%","",""
"Date exited ""Meeting Booked (Inbound Marketing)""","hs_v2_date_exited_1096407215","datetime","The date and time when the lead exited the 'Meeting Booked' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","2.42%","",""
"Date exited ""New (PLG Leads)""","hs_v2_date_exited_1162126453","datetime","The date and time when the lead exited the 'New' stage, 'PLG Leads' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0.09%","",""
"Date exited ""Attempting (PLG Leads)""","hs_v2_date_exited_1162126454","datetime","The date and time when the lead exited the 'Attempting' stage, 'PLG Leads' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Connected (PLG Leads)""","hs_v2_date_exited_1162126455","datetime","The date and time when the lead exited the 'Connected' stage, 'PLG Leads' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Qualified (PLG Leads)""","hs_v2_date_exited_1162126456","datetime","The date and time when the lead exited the 'Qualified' stage, 'PLG Leads' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Disqualified (PLG Leads)""","hs_v2_date_exited_1162126457","datetime","The date and time when the lead exited the 'Disqualified' stage, 'PLG Leads' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""New (Ads & Others)""","hs_v2_date_exited_1178245547","datetime","The date and time when the lead exited the 'New' stage, 'Ads & Others' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Attempting (Ads & Others)""","hs_v2_date_exited_1178245548","datetime","The date and time when the lead exited the 'Attempting' stage, 'Ads & Others' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Connected (Ads & Others)""","hs_v2_date_exited_1178245549","datetime","The date and time when the lead exited the 'Connected' stage, 'Ads & Others' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Qualified (Ads & Others)""","hs_v2_date_exited_1178245550","datetime","The date and time when the lead exited the 'Qualified' stage, 'Ads & Others' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Disqualified (Ads & Others)""","hs_v2_date_exited_1178245551","datetime","The date and time when the lead exited the 'Disqualified' stage, 'Ads & Others' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Meeting Booked (Marketing-Driven ABM Meetings)""","hs_v2_date_exited_1208221547","datetime","The date and time when the lead exited the 'Meeting Booked' stage, 'Marketing-Driven ABM Meetings' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Meeting Completed (Marketing-Driven ABM Meetings)""","hs_v2_date_exited_1208221550","datetime","The date and time when the lead exited the 'Meeting Completed' stage, 'Marketing-Driven ABM Meetings' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Deal created (Marketing-Driven ABM Meetings)""","hs_v2_date_exited_1208221551","datetime","The date and time when the lead exited the 'Deal created' stage, 'Marketing-Driven ABM Meetings' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Disqualified (Marketing-Driven ABM Meetings)""","hs_v2_date_exited_1208221552","datetime","The date and time when the lead exited the 'Disqualified' stage, 'Marketing-Driven ABM Meetings' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Attempting to connect (Inbound Marketing)""","hs_v2_date_exited_attempting_stage_id_745667965","datetime","The date and time when the lead exited the 'Attempting to connect' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","22.78%","",""
"Date exited ""Attempting to book meeting (Inbound Marketing)""","hs_v2_date_exited_connected_stage_id_2058487257","datetime","The date and time when the lead exited the 'Attempting to book meeting' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","6.99%","",""
"Date exited ""New (Inbound Marketing)""","hs_v2_date_exited_new_stage_id_1318266061","datetime","The date and time when the lead exited the 'New' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","35.03%","",""
"Date exited ""Deal created (Inbound Marketing)""","hs_v2_date_exited_qualified_stage_id_233247981","datetime","The date and time when the lead exited the 'Deal created' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","10.09%","",""
"Date exited ""Disqualified (Inbound Marketing)""","hs_v2_date_exited_unqualified_stage_id_1675714327","datetime","The date and time when the lead exited the 'Disqualified' stage, 'Inbound Marketing' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot","","0.86%","",""
"Latest time in ""Direct Message Replied (Instagram Outreach)""","hs_v2_latest_time_in_1096133706","number","The total time in seconds spent by the lead in the 'Direct Message Replied' stage, 'Instagram Outreach' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","12.17%","",""
"Latest time in "" Identified (Instagram Outreach)""","hs_v2_latest_time_in_1096330048","number","The total time in seconds spent by the lead in the ' Identified' stage, 'Instagram Outreach' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","60.66%","",""
"Latest time in ""Direct Message Sent (Instagram Outreach)""","hs_v2_latest_time_in_1096330050","number","The total time in seconds spent by the lead in the 'Direct Message Sent' stage, 'Instagram Outreach' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","15.53%","",""
"Latest time in ""Meeting Scheduled (Instagram Outreach)""","hs_v2_latest_time_in_1096330051","number","The total time in seconds spent by the lead in the 'Meeting Scheduled' stage, 'Instagram Outreach' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","1.12%","",""
"Latest time in ""Disqualified (Instagram Outreach)""","hs_v2_latest_time_in_1096330052","number","The total time in seconds spent by the lead in the 'Disqualified' stage, 'Instagram Outreach' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Attempting to Book Meeting (Instagram Outreach)""","hs_v2_latest_time_in_1096407205","number","The total time in seconds spent by the lead in the 'Attempting to Book Meeting' stage, 'Instagram Outreach' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","4.14%","",""
"Latest time in ""Meeting Booked (Inbound Marketing)""","hs_v2_latest_time_in_1096407215","number","The total time in seconds spent by the lead in the 'Meeting Booked' stage, 'Inbound Marketing' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","2.42%","",""
"Latest time in ""New (PLG Leads)""","hs_v2_latest_time_in_1162126453","number","The total time in seconds spent by the lead in the 'New' stage, 'PLG Leads' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0.09%","",""
"Latest time in ""Attempting (PLG Leads)""","hs_v2_latest_time_in_1162126454","number","The total time in seconds spent by the lead in the 'Attempting' stage, 'PLG Leads' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Connected (PLG Leads)""","hs_v2_latest_time_in_1162126455","number","The total time in seconds spent by the lead in the 'Connected' stage, 'PLG Leads' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Qualified (PLG Leads)""","hs_v2_latest_time_in_1162126456","number","The total time in seconds spent by the lead in the 'Qualified' stage, 'PLG Leads' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Disqualified (PLG Leads)""","hs_v2_latest_time_in_1162126457","number","The total time in seconds spent by the lead in the 'Disqualified' stage, 'PLG Leads' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""New (Ads & Others)""","hs_v2_latest_time_in_1178245547","number","The total time in seconds spent by the lead in the 'New' stage, 'Ads & Others' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Attempting (Ads & Others)""","hs_v2_latest_time_in_1178245548","number","The total time in seconds spent by the lead in the 'Attempting' stage, 'Ads & Others' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Connected (Ads & Others)""","hs_v2_latest_time_in_1178245549","number","The total time in seconds spent by the lead in the 'Connected' stage, 'Ads & Others' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Qualified (Ads & Others)""","hs_v2_latest_time_in_1178245550","number","The total time in seconds spent by the lead in the 'Qualified' stage, 'Ads & Others' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Disqualified (Ads & Others)""","hs_v2_latest_time_in_1178245551","number","The total time in seconds spent by the lead in the 'Disqualified' stage, 'Ads & Others' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Meeting Booked (Marketing-Driven ABM Meetings)""","hs_v2_latest_time_in_1208221547","number","The total time in seconds spent by the lead in the 'Meeting Booked' stage, 'Marketing-Driven ABM Meetings' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Meeting Completed (Marketing-Driven ABM Meetings)""","hs_v2_latest_time_in_1208221550","number","The total time in seconds spent by the lead in the 'Meeting Completed' stage, 'Marketing-Driven ABM Meetings' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Deal created (Marketing-Driven ABM Meetings)""","hs_v2_latest_time_in_1208221551","number","The total time in seconds spent by the lead in the 'Deal created' stage, 'Marketing-Driven ABM Meetings' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Disqualified (Marketing-Driven ABM Meetings)""","hs_v2_latest_time_in_1208221552","number","The total time in seconds spent by the lead in the 'Disqualified' stage, 'Marketing-Driven ABM Meetings' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Latest time in ""Attempting to connect (Inbound Marketing)""","hs_v2_latest_time_in_attempting_stage_id_745667965","number","The total time in seconds spent by the lead in the 'Attempting to connect' stage, 'Inbound Marketing' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","22.78%","",""
"Latest time in ""Attempting to book meeting (Inbound Marketing)""","hs_v2_latest_time_in_connected_stage_id_2058487257","number","The total time in seconds spent by the lead in the 'Attempting to book meeting' stage, 'Inbound Marketing' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","6.99%","",""
"Latest time in ""New (Inbound Marketing)""","hs_v2_latest_time_in_new_stage_id_1318266061","number","The total time in seconds spent by the lead in the 'New' stage, 'Inbound Marketing' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","35.03%","",""
"Latest time in ""Deal created (Inbound Marketing)""","hs_v2_latest_time_in_qualified_stage_id_233247981","number","The total time in seconds spent by the lead in the 'Deal created' stage, 'Inbound Marketing' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","10.09%","",""
"Latest time in ""Disqualified (Inbound Marketing)""","hs_v2_latest_time_in_unqualified_stage_id_1675714327","number","The total time in seconds spent by the lead in the 'Disqualified' stage, 'Inbound Marketing' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot","","0.86%","",""
