"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Calendar Sync","hs_calendar_sync_enabled","bool","Calendar sync logs new meetings from their primary calendar to existing contacts in HubSpot.","user_information","false","On (true); Off (false)","true","true","false","false","false","true","HubSpot","","45.95%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","user_information","false","","true","true","false","true","false","true","HubSpot","","86.49%","",""
"Created date","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","user_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Email","hs_email","string","The user's email address.","user_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Last Name","hs_family_name","string","The user's last or family name.","user_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"First Name","hs_given_name","string","The user's first or given name.","user_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Internal User ID","hs_internal_user_id","number","The user's unique internal ID in HubSpot's centralized database. This is not portal-specific.","user_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Invite Accepted Time","hs_invite_accepted_time","datetime","The time the user accepted their invite to the portal.","user_information","false","","true","true","false","false","false","true","HubSpot","","98.65%","",""
"Partner","hs_is_partner_user","bool","Property to say if a user is working on that hub on behalf of a Solutions Partner or a Solutions Provider","user_information","false","True (true) [READ-ONLY]; False (false) [READ-ONLY]","true","true","false","false","false","true","HubSpot","","100%","",""
"Job Title","hs_job_title","string","Displays the user's job title.","user_information","false","","false","true","false","false","false","true","HubSpot","","2.7%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","user_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Main Phone","hs_main_phone","phone_number","The user's main phone number","user_information","false","","true","true","false","false","false","true","HubSpot","","14.86%","",""
"Manager","hs_manager","enumeration","The user's manager. Can be any non-deactivated or non-partner user in the account","user_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","user_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","user_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","user_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","user_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","user_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","user_information","false","","true","true","false","true","false","true","HubSpot","","41.89%","",""
"Partner User","hs_partner_user","enumeration","The type of partner user (partner or provider) if applicable","user_information","false","Partner User (partner_user); Provider User (provider_user)","true","true","false","false","false","true","HubSpot","","9.46%","",""
"SCIM Status","hs_scim_status","bool","Demonstrates whether the user is managed by SCIM","user_information","false","Managed by SCIM (true); Not Managed by SCIM (false)","true","true","false","false","false","true","HubSpot","","58.11%","",""
"Name","hs_searchable_calculated_name","string","The user's full name or  email. If first/last name do not exist, then the email will be given.","user_information","false","","true","true","true","false","false","true","HubSpot","","100%","",""
