"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Event Format","event_type","enumeration","","marketingeventinformation","true","Conference; American Prays; Retreats; Travels; NRB; PRAY Event (PRAY event); PRAY Sports; PRAY Retreat; PRAY Mini Event","false","false","false","false","false","false","Nay Luchetti","Object requirement (1); Dataset (1); Sales view (1)","100%","",""
"AppId","hs_app_id","number","The appId that is associated with this marketing event. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Attendees","hs_attendees","number","The number of people who attended this marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (7)","64.91%","",""
"Cancellations","hs_cancellations","number","The number of cancellations for this marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","1.75%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"End date","hs_end_datetime","datetime","The end date and time of the marketing event.","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","Object requirement (1); Sales view (6); Properties v3 card (1)","100%","",""
"Event cancelled","hs_event_cancelled","bool","Indicates if the marketing event has been cancelled.","marketingeventinformation","false","True (true); False (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Description","hs_event_description","string","The description of the marketing event","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","Object requirement (1); Sales view (7); Properties v3 card (1)","82.46%","",""
"Name","hs_event_name","string","The name of the event","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","Object requirement (1); Report (7); Dataset (2); Sales view (8)","100%","",""
"Organizer","hs_event_organizer","string","The marketing event organizer","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","Object requirement (1); Sales view (1); Properties v3 card (1)","57.89%","",""
"Url","hs_event_url","string","The url to the marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last import status","hs_import_status","enumeration","Stores last import status associated with MarketingEvent","marketingeventinformation","false","In progress (in_progress); Complete (complete); Import failed (import_failed); Import reverted (import_reverted)","true","true","false","false","false","true","HubSpot","","64.91%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"No shows","hs_noshows","number","The number of people who registered for this marketing event but did not attend nor cancel","marketingeventinformation","false","","true","true","true","false","false","true","HubSpot","","85.96%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Registrations","hs_registrations","number","The current number of registrations for this marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (1)","64.91%","",""
"Start date","hs_start_datetime","datetime","The start date and time of the marketing event.","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","Object requirement (1); Report (6); Dataset (2); Sales view (8); Properties v3 card (1)","100%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","marketingeventinformation","false","","false","true","false","true","false","true","HubSpot","","26.32%","",""
"Marketing internal notes","marketing_internal_notes","string","","marketingeventinformation","false","","false","false","false","false","false","false","Nay Luchetti","Object requirement (1); Sales view (1); Properties v3 card (1)","42.11%","",""
"PRAY team attendees","pray_team_attendees","enumeration","","marketingeventinformation","false","","false","false","false","true","false","false","Nay Luchetti","Object requirement (1); Dataset (1); Sales view (3)","35.09%","",""
"Event Location","simpleevents_event_location","string","","marketingeventinformation","false","","false","false","false","false","false","false","Nay Luchetti","Object requirement (1); Report (2); Sales view (5)","98.25%","",""
"Talking Points","talking_points","enumeration","","marketingeventinformation","true","America Prays 250; NRB 2026; PRAY Science (Pray Science)","false","false","false","false","false","false","Nay Luchetti","Object requirement (1)","0%","",""
"Projected expenses","projected_expenses","number","","projected_roi","true","","false","false","false","false","false","false","Nay Luchetti","Calculated property (1); Object requirement (1)","17.54%","",""
"Projected ROI","projected_roi","number","","projected_roi","false","","true","false","true","false","false","false","Nay Luchetti","","14.04%","",""
"Budget","budget","number","","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Object requirement (1); Report (3); Dataset (2); Sales view (5)","89.47%","",""
"Deals Lost Amount","deals_lost_amount","number","The total amount of all lost deals attributed to this event","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Report (3); Sales view (1)","28.07%","",""
"Deals Total Amount","deals_total_amount","number","The total amount of all deals attributed to this event","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Report (3); Sales view (1)","28.07%","",""
"Logos with upsell","logos_with_upsell","number","","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Report (2); Sales view (2)","28.07%","",""
"Deals Closed-won Amount","net_new_revenue","number","","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Calculated property (2); Report (9); Sales view (4)","54.39%","",""
"New Logos Attributed","new_logos_attributed","number","","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Report (2); Sales view (2)","28.07%","",""
"Deals Open Amount","open_deals_amount","number","Total amount in open deals attributed to this event","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Report (3); Sales view (1)","28.07%","",""
"ROI","roi","number","","roi_&_revenue_attribution","false","","true","false","true","false","false","false","Nay Luchetti","Report (4); Sales view (4)","33.33%","",""
"Amount Spent","spent","number","","roi_&_revenue_attribution","true","","false","false","false","false","false","false","Nay Luchetti","Calculated property (1); Report (9); Dataset (2); Sales view (7)","59.65%","",""
